1;AVSS-F 2.0 W-B;18007704243;0;0
2;AVSS-F 2.0 R;18007704250;0;0
3;AVSS-F 2.0 G;18007704260;0;0
4;AVSS-F 2.0 V;18007704292;0;0
5;AVSS-F 2.0 P;18007704252;0;0
6;AVSS-F 2.0 Y;18007704270;0;0
7;AVSS-F 2.0 LG;18007704261;0;0
8;AVSS-F 2.0 W-L;18007704249;0;0
9;AVSS-F 2.0 GY;18007704241;0;0
10;AVSS-F 2.0 SB;18007704291;0;0
11;AVSS-F 2.0 W-R;18007704245;0;0
12;AVSS-F 2.0 BE;1800770425U;0;0
13;AVSS-F 2.0 B-R;18007704235;0;0
14;AVSS-F 2.0 L-O;18007704214;0;0
15;AVSS-F 2.0 R-B;18007704253;0;0
16;AVSS-F 2.0 Y-G;18007704276;0;0
17;AVSS-F 2.0 Y-R;18007704275;0;0
18;ACCAVS 0.5 B;180T8403930;0;0
19;ACCAVS 0.5 G;180T8403960;0;0
20;ACCAVS 0.5 G-R;180T8403965;0;0
21;ACCAVS 0.5 G-W;180T8403964;0;0
22;ACCAVS 0.5 G-Y;180T8403967;0;0
23;ACCAVS 0.5 R;180T8403950;0;0
24;ACCAVS 0.5 R-B;180T8403953;0;0
25;ACCAVS 0.5 W;180T8403940;0;0
26;ACCAVS 0.5 Y;180T8403970;0;0
27;ACCAVS 0.5 Y-B;180T8403973;0;0
28;ACCAVS 0.5 Y-G;180T8403976;0;0
29;ACCAVS 0.5 Y-O;180T8403913;0;0
30;ACCAVS 0.5 Y-R;180T8403975;0;0
31;ACCAVS 0.5 Y-V;180T84039G1;0;0
32;ACCIVUS 0.35 B;180TR706930;0;0
33;ACCIVUS 0.35 G;180TR706960;0;0
34;ACCIVUS 0.35 L;180TR706990;0;0
35;ACCIVUS 0.35 R;180TR706950;0;0
36;ACCIVUS 0.35 V;180TR706992;0;0
37;ACCIVUS 0.35 W;180TR706940;0;0
38;ACCIVUS 0.35 W-B;180TR706943;0;0
39;ACCIVUS 0.35 Y;180TR706970;0;0
40;ACCIVUS 0.35 Y-B;180TR706973;0;0
41;ACCIVUS 0.35 Y-G;180TR706976;0;0
42;ACCIVUS 0.35 Y-R;180TR706975;0;0
43;ACCIVUS 0.5 B;180TR703930;0;0
44;ACCIVUS 0.5 BR;180TR703980;0;0
45;ACCIVUS 0.5 R;180TR703950;0;0
46;ACCIVUS 0.5 V;180TR703992;0;0
47;ACCIVUS 0.5 W;180TR703940;0;0
48;ACCIVUS 0.5 W-B;180TR703943;0;0
49;ACCIVUS 0.5 Y;180TR703970;0;0
50;ACCIVUS 0.5 Y-B;180TR703973;0;0
51;ACVSSH-F 0.5 Y-B;180P0203973;0;0
52;AV 8.0 B;18000004530;0;0
53;AV 8.0 R;18000004550;0;0
54;AVS 3.0 B;18009604330;0;0
55;AVS 3.0 BR;18009604380;0;0
56;AVS 3.0 B-R;18009604335;0;0
57;AVS 3.0 G;18009604360;0;0
58;AVS 3.0 W;18009604340;0;0
59;AVS 3.0 W-B;18009604343;0;0
60;AVS 3.0 W-L;18009604349;0;0
61;AVS 3.0 W-R;18009604345;0;0
62;AVS 3.0 Y;18009604370;0;0
63;AVS 5.0 B;18009604430;0;0
64;AVS 5.0 B-R;18009604435;0;0
65;AVS 5.0 B-W;18009604434;0;0
66;AVS 5.0 L;18009604490;0;0
67;AVS 5.0 L-B;18009604493;0;0
68;AVS 5.0 R;18009604450;0;0
69;AVS 5.0 R-B;18009604453;0;0
70;AVS 5.0 W;18009604440;0;0
71;AVS 5.0 W-B;18009604443;0;0
72;AVS 5.0 W-R;18009604445;0;0
73;AVSSCS 2.02 DGY-G;181B32202Y6;0;0
74;AVSSCS 5.54 DGY-Y;181B32010ZZ;0;0
75;AVSSCSS 0.39 DGY;181E50004ZZ;0;0
76;AVSSCSS 0.39 DGY-L;181E50007ZZ;0;0
77;AVSSCSS 1.02 DGY;181E50001ZZ;0;0
78;AVSSCSS 1.02 DGY-P;181E50010ZZ;0;0
79;AVSSCSS 1.03 DGY;181E50028ZZ;0;0
80;AVSSCSS 1.03 DGY-G;181E50027ZZ;0;0
81;AVSSCSS 1.16 DGY;181E50036ZZ;0;0
82;AVSSCSS 1.16 DGY-L;181E50035ZZ;0;0
83;AVSSCSS 1.16 DGY-P;181E50021ZZ;0;0
84;AVSSCSS 1.16 DGY-R;181E50020ZZ;0;0
85;AVSSCSS 1.19 DGY;181E50044ZZ;0;0
86;AVSSCSS 1.19 DGY-W;181E50034ZZ;0;0
87;AVSS-F 2.0 BR;18007704280;0;0
88;AVSSH-F 0.3 R;180D0203750;0;0
89;AVSSH-F 0.3 W;180D0203740;0;0
90;AVSSH-F 0.5 G;180D0203960;0;0
91;AVSSH-F 0.5 GY;180D0203941;0;0
92;AVSSH-F 0.5 L;180D0203990;0;0
93;AVSSH-F 0.5 LG;180D0203961;0;0
94;AVSSH-F 0.5 P;180D0203952;0;0
95;AVSSH-F 0.5 R;180D0203950;0;0
96;AVSSH-F 0.5 V;180D0203992;0;0
97;AVSSH-F 0.5 W;180D0203940;0;0
98;AVSSH-F 0.75 W-B;180D0204043;0;0
99;AVSSH-F 1.25 B;180D0204130;0;0
100;AVSSH-F 1.25 L;180D0204190;0;0
101;AVSSH-F 1.25 W-B;180D0204143;0;0
102;CAVS 0.3 B;18018403730;0;0
103;CAVS 0.3 BE;1801840375U;0;0
104;CAVS 0.3 B-L;18018403739;0;0
105;CAVS 0.3 BR;18018403780;0;0
106;CAVS 0.3 B-R;18018403735;0;0
107;CAVS 0.3 BR-R;18018403785;0;0
108;CAVS 0.3 G;18018403760;0;0
109;CAVS 0.3 G-B;18018403763;0;0
110;CAVS 0.3 GY;18018403741;0;0
111;CAVS 0.3 G-Y;18018403767;0;0
112;CAVS 0.3 L;18018403790;0;0
113;CAVS 0.3 LG;18018403761;0;0
114;CAVS 0.3 L-R;18018403795;0;0
115;CAVS 0.3 L-W;18018403794;0;0
116;CAVS 0.3 L-Y;18018403797;0;0
117;CAVS 0.3 P;18018403752;0;0
118;CAVS 0.3 P-B;18018403707;0;0
119;CAVS 0.3 P-L;180184037G6;0;0
120;CAVS 0.3 R;18018403750;0;0
121;CAVS 0.3 R-B;18018403753;0;0
122;CAVS 0.3 R-G;18018403756;0;0
123;CAVS 0.3 R-L;18018403759;0;0
124;CAVS 0.3 R-Y;18018403757;0;0
125;CAVS 0.3 V;18018403792;0;0
126;CAVS 0.3 V-R;180184037G4;0;0
127;CAVS 0.3 V-W;18018403733;0;0
128;CAVS 0.3 W;18018403740;0;0
129;CAVS 0.3 W-B;18018403743;0;0
130;CAVS 0.3 W-G;18018403746;0;0
131;CAVS 0.3 W-L;18018403749;0;0
132;CAVS 0.3 W-R;18018403745;0;0
133;CAVS 0.3 Y;18018403770;0;0
134;CAVS 0.3 Y-B;18018403773;0;0
135;CAVS 0.5 B;18018403930;0;0
136;CAVS 0.5 BR;18018403980;0;0
137;CAVS 0.5 BR-R;18018403985;0;0
138;CAVS 0.5 G;18018403960;0;0
139;CAVS 0.5 GY;18018403941;0;0
140;CAVS 0.5 G-Y;18018403967;0;0
141;CAVS 0.5 L;18018403990;0;0
142;CAVS 0.5 LG;18018403961;0;0
143;CAVS 0.5 L-W;18018403994;0;0
144;CAVS 0.5 L-Y;18018403997;0;0
145;CAVS 0.5 P;18018403952;0;0
146;CAVS 0.5 R;18018403950;0;0
147;CAVS 0.5 R-W;18018403954;0;0
148;CAVS 0.5 SB;18018403991;0;0
149;CAVS 0.5 V;18018403992;0;0
150;CAVS 0.5 W;18018403940;0;0
151;CAVS 0.5 W-B;18018403943;0;0
152;CAVS 0.5 Y;18018403970;0;0
153;CAVS 0.5 Y-B;18018403973;0;0
154;CAVS 0.5 Y-G;18018403976;0;0
155;CAVS 0.5 Y-R;18018403975;0;0
156;CAVS 0.85 B;18018404030;0;0
157;CAVS 0.85 BR;18018404080;0;0
158;CAVS 0.85 G;18018404060;0;0
159;CAVS 0.85 GY;18018404041;0;0
160;CAVS 0.85 G-Y;18018404067;0;0
161;CAVS 0.85 L;18018404090;0;0
162;CAVS 0.85 LG;18018404061;0;0
163;CAVS 0.85 L-W;18018404094;0;0
164;CAVS 0.85 P;18018404052;0;0
165;CAVS 0.85 R;18018404050;0;0
166;CAVS 0.85 R-B;18018404053;0;0
167;CAVS 0.85 R-L;18018404059;0;0
168;CAVS 0.85 V;18018404092;0;0
169;CAVS 0.85 W;18018404040;0;0
170;CAVS 0.85 W-B;18018404043;0;0
171;CAVS 0.85 W-L;18018404049;0;0
172;CAVS 0.85 Y;18018404070;0;0
173;CAVS 1.25 B;18018404130;0;0
174;CAVS 1.25 BR;18018404180;0;0
175;CAVS 1.25 G;18018404160;0;0
176;CAVS 1.25 G-Y;18018404167;0;0
177;CAVS 1.25 L;18018404190;0;0
178;CAVS 1.25 LG;18018404161;0;0
179;CAVS 1.25 P;18018404152;0;0
180;CAVS 1.25 R;18018404150;0;0
181;CAVS 1.25 R-Y;18018404157;0;0
182;CAVS 1.25 V;18018404192;0;0
183;CAVS 1.25 W;18018404140;0;0
184;CAVS 1.25 W-B;18018404143;0;0
185;CAVS 1.25 Y;18018404170;0;0
186;CAVSAS 1.17 GY;181B0911741;0;0
187;CAVSASS 1.02 GY;181E48022ZZ;0;0
188;CAVSASS 1.02 GY-BR;181E48062ZZ;0;0
189;CAVSASS 1.03 GY;181E48035ZZ;0;0
190;CAVSASS 1.17 GY;181E48013ZZ;0;0
191;CIVUS 0.35 B;1801R706930;0;0
192;CIVUS 0.35 BE;1801R70695U;0;0
193;CIVUS 0.35 BR;1801R706980;0;0
194;CIVUS 0.35 G;1801R706960;0;0
195;CIVUS 0.35 GY;1801R706941;0;0
196;CIVUS 0.35 LG;1801R706961;0;0
197;CIVUS 0.35 P;1801R706952;0;0
198;CIVUS 0.35 SB;1801R706991;0;0
199;CIVUS 0.35 V;1801R706992;0;0
200;CIVUS 0.35 W-B;1801R706943;0;0
201;CIVUS 0.35 Y;1801R706970;0;0
202;CIVUS 0.5 B;1801R703930;0;0
203;CIVUS 0.5 BE;1801R70395U;0;0
204;CIVUS 0.5 BR;1801R703980;0;0
205;CIVUS 0.5 G;1801R703960;0;0
206;CIVUS 0.5 GY;1801R703941;0;0
207;CIVUS 0.5 L;1801R703990;0;0
208;CIVUS 0.5 LG;1801R703961;0;0
209;CIVUS 0.5 P;1801R703952;0;0
210;CIVUS 0.5 R;1801R703950;0;0
211;CIVUS 0.5 SB;1801R703991;0;0
212;CIVUS 0.5 V;1801R703992;0;0
213;CIVUS 0.5 W;1801R703940;0;0
214;CIVUS 0.5 W-B;1801R703943;0;0
215;CIVUS 0.5 Y;1801R703970;0;0
216;CIVUS 0.75 B;1801R704030;0;0
217;CIVUS 0.75 BE;1801R70405U;0;0
218;CIVUS 0.75 G;1801R704060;0;0
219;CIVUS 0.75 GY;1801R704041;0;0
220;CIVUS 0.75 L;1801R704090;0;0
221;CIVUS 0.75 LG;1801R704061;0;0
222;CIVUS 0.75 P;1801R704052;0;0
223;CIVUS 0.75 R;1801R704050;0;0
224;CIVUS 0.75 SB;1801R704091;0;0
225;CIVUS 0.75 V;1801R704092;0;0
226;CIVUS 0.75 W;1801R704040;0;0
227;CIVUS 0.75 W-B;1801R704043;0;0
228;CIVUS 0.75 Y;1801R704070;0;0
229;CIVUS 1.25 B;1801R704130;0;0
230;CIVUS 1.25 BE;1801R70415U;0;0
